packet_id,true_condition,scenario_id,resolved_use_case
E4706AD4,C4,SC_0243,reject
E592A05B,C1,SC_1523,learning_by_teaching
E6FF74B1,C2,SC_1954,diagnostic_simulation
E732D723,C4,SC_0561,reject
E7AF6CB8,C4,SC_1691,reject
EA49A87B,C2,SC_1786,diagnostic_simulation
EB166047,C3,SC_1026,reject
EB452F27,C1,SC_0292,learning_by_teaching
EE4C3AD4,C2,SC_0192,diagnostic_simulation
EED3FB99,C2,SC_0132,diagnostic_simulation
EF450A88,C3,SC_1416,reject
EFD5A21D,C3,SC_0795,feedback_policy_testing
EFD5AE2F,C1,SC_0809,learning_by_teaching
F0E3ACD2,C4,SC_1527,reject
F12506D5,C4,SC_2219,reject
F1AD378D,C2,SC_0243,diagnostic_simulation
F3110D4E,C2,SC_0570,learning_by_teaching
F56975F6,C1,SC_1030,feedback_policy_testing
F65F5F65,C3,SC_1030,reject
F77C638A,C4,SC_2219,feedback_policy_testing
F7B9D053,C2,SC_1993,diagnostic_simulation
F80C882A,C3,SC_1691,reject
F9F146A5,C1,SC_0393,feedback_policy_testing
FA774552,C3,SC_1486,reject
FCCC45C7,C3,SC_2147,reject
FD397ECA,C4,SC_1474,reject
FE013B34,C2,SC_1030,diagnostic_simulation
FF80B87D,C1,SC_1030,learning_by_teaching
FF8D0F03,C1,SC_1253,learning_by_teaching
