scenario_id,condition,seed,phase,model_id,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,json_path,mock
SC_0953,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.041245,10,10,False,,,3532,265,outputs/pilot/C2/SC_0953_42.json,True
SC_0961,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.044396,10,10,False,,,3873,287,outputs/pilot/C2/SC_0961_17.json,True
SC_0961,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.044870,10,10,False,,,3873,287,outputs/pilot/C2/SC_0961_42.json,True
SC_1010,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.047587,5,5,False,,,1982,128,outputs/pilot/C2/SC_1010_17.json,True
SC_1010,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.047917,5,5,False,,,1982,128,outputs/pilot/C2/SC_1010_42.json,True
SC_1011,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.050496,10,10,False,,,4075,280,outputs/pilot/C2/SC_1011_17.json,True
SC_1011,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.051056,10,10,False,,,4075,280,outputs/pilot/C2/SC_1011_42.json,True
SC_1066,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.053543,6,6,False,,,2353,161,outputs/pilot/C2/SC_1066_17.json,True
SC_1066,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.053865,6,6,False,,,2353,161,outputs/pilot/C2/SC_1066_42.json,True
SC_1100,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.056331,8,8,False,,,2925,236,outputs/pilot/C2/SC_1100_17.json,True
SC_1100,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.056805,8,8,False,,,2925,236,outputs/pilot/C2/SC_1100_42.json,True
SC_1103,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.060115,6,6,False,,,2387,163,outputs/pilot/C2/SC_1103_17.json,True
SC_1103,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.060491,6,6,False,,,2387,163,outputs/pilot/C2/SC_1103_42.json,True
SC_1123,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.063426,6,6,False,,,2378,173,outputs/pilot/C2/SC_1123_17.json,True
SC_1123,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.063805,6,6,False,,,2378,173,outputs/pilot/C2/SC_1123_42.json,True
SC_1161,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.066444,9,9,False,,,3446,254,outputs/pilot/C2/SC_1161_17.json,True
SC_1161,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.066962,9,9,False,,,3446,254,outputs/pilot/C2/SC_1161_42.json,True
SC_1222,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.069344,5,5,False,,,1746,140,outputs/pilot/C2/SC_1222_17.json,True
SC_1222,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.069639,5,5,False,,,1746,140,outputs/pilot/C2/SC_1222_42.json,True
SC_1262,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.071562,4,4,False,,,1666,101,outputs/pilot/C2/SC_1262_17.json,True
SC_1262,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.071834,4,4,False,,,1666,101,outputs/pilot/C2/SC_1262_42.json,True
SC_1289,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.073604,9,9,True,E2,Turn 0: non-math content (movie),3235,249,outputs/pilot/C2/SC_1289_17.json,True
SC_1289,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.073857,9,9,True,E2,Turn 0: non-math content (movie),3235,249,outputs/pilot/C2/SC_1289_42.json,True
SC_1326,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.076114,5,5,False,,,1987,132,outputs/pilot/C2/SC_1326_17.json,True
SC_1326,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.076566,5,5,False,,,1987,132,outputs/pilot/C2/SC_1326_42.json,True
SC_1328,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.078737,4,4,False,,,1617,95,outputs/pilot/C2/SC_1328_17.json,True
SC_1328,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.079114,4,4,False,,,1617,95,outputs/pilot/C2/SC_1328_42.json,True
SC_1393,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.081029,4,4,False,,,1502,90,outputs/pilot/C2/SC_1393_17.json,True
SC_1393,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.081279,4,4,False,,,1502,90,outputs/pilot/C2/SC_1393_42.json,True
SC_1398,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.083243,5,5,False,,,2072,130,outputs/pilot/C2/SC_1398_17.json,True
SC_1398,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.083599,5,5,False,,,2072,130,outputs/pilot/C2/SC_1398_42.json,True
SC_1433,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.086295,9,9,False,,,4277,252,outputs/pilot/C2/SC_1433_17.json,True
SC_1433,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.086798,9,9,False,,,4277,252,outputs/pilot/C2/SC_1433_42.json,True
SC_1451,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.092441,29,29,False,,,11617,798,outputs/pilot/C2/SC_1451_17.json,True
SC_1451,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.093924,29,29,False,,,11617,798,outputs/pilot/C2/SC_1451_42.json,True
SC_1455,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.099126,6,6,False,,,2635,150,outputs/pilot/C2/SC_1455_17.json,True
SC_1455,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.099494,6,6,False,,,2635,150,outputs/pilot/C2/SC_1455_42.json,True
SC_1458,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.102307,6,6,False,,,2491,170,outputs/pilot/C2/SC_1458_17.json,True
SC_1458,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.102643,6,6,False,,,2491,170,outputs/pilot/C2/SC_1458_42.json,True
SC_1509,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.104846,7,7,False,,,2630,184,outputs/pilot/C2/SC_1509_17.json,True
SC_1509,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.105183,7,7,False,,,2630,184,outputs/pilot/C2/SC_1509_42.json,True
SC_1597,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.108404,13,13,False,,,4551,330,outputs/pilot/C2/SC_1597_17.json,True
