scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0222,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:59:47.572860,17,17,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0222_91.json
SC_0243,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:02:04.394590,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0243_17.json
SC_0243,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:06:14.896113,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0243_42.json
SC_0243,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:10:25.861510,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0243_91.json
SC_0265,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:51:27.907272,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0265_17.json
SC_0265,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:54:53.020205,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0265_42.json
SC_0265,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T07:58:18.138754,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0265_91.json
SC_0292,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T08:32:30.533115,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0292_17.json
SC_0292,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T08:35:55.250656,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0292_42.json
SC_0292,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T08:39:20.764453,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0292_91.json
SC_0323,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:11:59.298052,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0323_17.json
SC_0323,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:13:52.682700,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0323_42.json
SC_0323,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:15:46.404657,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0323_91.json
SC_0353,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:37:01.515169,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0353_17.json
SC_0353,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:41:11.335894,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0353_42.json
SC_0353,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T09:45:22.483679,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0353_91.json
SC_0393,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:55:11.636177,10,10,False,,,12401,1314,0.056913,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0393_17.json
SC_0393,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T10:26:45.509796,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0393_42.json
SC_0393,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T10:30:32.654389,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0393_91.json
SC_0404,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:45:11.866636,7,7,False,,,6568,753,0.030999,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0404_17.json
SC_0404,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T10:56:00.123504,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0404_42.json
SC_0404,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T10:58:39.015654,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0404_91.json
SC_0407,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T11:18:46.856637,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0407_17.json
SC_0407,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T11:22:56.943089,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0407_42.json
SC_0407,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T11:27:08.237765,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0407_91.json
SC_0409,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:06:42.015392,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0409_17.json
SC_0409,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:08:35.726193,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0409_42.json
SC_0409,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:10:29.832033,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0409_91.json
SC_0448,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:31:44.261797,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0448_17.json
SC_0448,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:35:55.361483,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0448_42.json
SC_0448,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T12:40:06.722639,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0448_91.json
SC_0487,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:19:12.718274,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0487_17.json
SC_0487,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:20:44.707974,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0487_42.json
SC_0487,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:22:15.869945,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0487_91.json
SC_0505,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:40:05.917990,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0505_17.json
SC_0505,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:44:17.538239,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0505_42.json
SC_0505,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T13:48:28.346621,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0505_91.json
SC_0527,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:23:43.709659,9,9,False,,,9662,1057,0.044841,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0527_17.json
SC_0527,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:24:14.392317,9,9,False,,,9122,901,0.040881,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0527_42.json
SC_0527,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:24:56.825473,9,9,False,,,10650,1195,0.049875,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0527_91.json
SC_0553,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:32:54.323079,10,10,False,,,10074,885,0.043497,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0553_17.json
SC_0553,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:33:28.710399,10,10,False,,,10051,780,0.041853,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0553_42.json
SC_0553,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:34:04.376072,10,10,False,,,10736,984,0.046968,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0553_91.json
SC_0557,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:41:40.234413,4,4,False,,,3067,607,0.018306,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0557_17.json
SC_0557,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:41:58.284618,4,4,False,,,3478,691,0.020799,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0557_42.json
SC_0557,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:42:16.888302,4,4,False,,,3107,656,0.019161,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0557_91.json
SC_0558,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:46:08.465230,8,8,True,E2,Turn 7: non-math content (movie),9024,995,0.041997,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0558_17.json
SC_0558,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:47:58.385252,8,8,True,E2,Turn 5: non-math content (movie),8590,900,0.03927,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0558_42.json
SC_0558,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:49:32.666544,8,8,True,E2,Turn 7: non-math content (movie),9204,1074,0.043722,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0558_91.json
SC_0561,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:56:43.089520,11,11,False,,,13844,1144,0.058692,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0561_17.json
SC_0561,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:57:17.008796,11,11,False,,,13754,1038,0.056832,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0561_42.json
SC_0561,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T14:57:52.828996,11,11,False,,,13603,970,0.055359,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0561_91.json
SC_0570,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:47:24.028095,4,4,False,,,3674,631,0.020487,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0570_17.json
SC_0570,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:04:18.040597,4,4,False,,,3711,745,0.022308,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0570_42.json
SC_0570,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:04:35.433614,4,4,False,,,3668,624,0.020364,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0570_91.json
SC_0605,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:06:43.914463,6,6,False,,,4766,562,0.022728,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0605_17.json
SC_0605,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:07:02.508496,6,6,False,,,4412,474,0.020346,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0605_42.json
SC_0605,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:07:23.062576,6,6,False,,,4742,572,0.022806,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0605_91.json
SC_0688,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:11:02.405001,7,7,True,E2,Turn 3: non-math content (war),7289,791,0.033732,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0688_17.json
SC_0688,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:11:28.679478,7,7,False,,,7311,885,0.035208,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0688_42.json
SC_0688,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:12:00.442054,7,7,False,,,7295,828,0.034305,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0688_91.json
SC_0725,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:16:44.052809,4,4,False,,,3286,599,0.018843,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0725_17.json
SC_0725,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:16:59.755790,4,4,False,,,3180,552,0.01782,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0725_42.json
SC_0725,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:17:17.599475,4,4,False,,,3156,550,0.017718,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0725_91.json
SC_0736,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:48:45.782520,8,8,False,,,6558,569,0.028209,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0736_17.json
SC_0736,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:21:11.992467,8,8,False,,,6669,612,0.029187,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0736_42.json
SC_0736,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:21:37.293387,8,8,False,,,6502,548,0.027726,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0736_91.json
SC_0746,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:25:49.603181,11,11,False,,,11063,885,0.046464,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0746_17.json
SC_0746,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:26:21.851064,11,11,False,,,10604,796,0.043752,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0746_42.json
SC_0746,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:26:55.916112,11,11,False,,,11676,980,0.049728,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0746_91.json
SC_0795,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:34:02.511085,4,4,False,,,3089,466,0.016257,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0795_17.json
SC_0795,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:34:16.612306,4,4,False,,,3063,405,0.015264,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0795_42.json
SC_0795,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T15:34:31.873608,4,4,False,,,3137,464,0.016371,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0795_91.json
