split_col,split_val,dimension,comparison,n_scenarios,mean_diff,p_value,direction,sig_p05
self_correction_flag,False,TA1,C2_vs_C3,5,-0.45,0.125,B>A,False
self_correction_flag,False,TA1,C1_vs_C4,4,,,,False
self_correction_flag,False,TA1,C2_vs_C4,4,,,,False
self_correction_flag,False,TA2,C1_vs_C2,8,1.312,0.0078,A>B,True
self_correction_flag,False,TA2,C1_vs_C3,6,1.833,0.0312,A>B,True
self_correction_flag,False,TA2,C2_vs_C3,5,0.5,0.125,A>B,False
self_correction_flag,False,TA2,C1_vs_C4,4,,,,False
self_correction_flag,False,TA2,C2_vs_C4,4,,,,False
self_correction_flag,False,TA3,C1_vs_C2,8,0.469,0.0625,A>B,False
self_correction_flag,False,TA3,C1_vs_C3,6,0.75,0.0625,A>B,False
self_correction_flag,False,TA3,C2_vs_C3,5,0.25,0.5,A>B,False
self_correction_flag,False,TA3,C1_vs_C4,4,,,,False
self_correction_flag,False,TA3,C2_vs_C4,4,,,,False
self_correction_flag,False,TA4,C1_vs_C2,8,0.562,0.0625,A>B,False
self_correction_flag,False,TA4,C1_vs_C3,6,1.5,0.0312,A>B,True
self_correction_flag,False,TA4,C2_vs_C3,5,1.0,0.125,A>B,False
self_correction_flag,False,TA4,C1_vs_C4,4,,,,False
self_correction_flag,False,TA4,C2_vs_C4,4,,,,False
self_correction_flag,False,SS1,C1_vs_C2,8,-1.188,0.0078,B>A,True
self_correction_flag,False,SS1,C1_vs_C3,6,0.667,0.125,A>B,False
self_correction_flag,False,SS1,C2_vs_C3,5,1.75,0.0625,A>B,False
self_correction_flag,False,SS1,C1_vs_C4,4,,,,False
self_correction_flag,False,SS1,C2_vs_C4,4,,,,False
self_correction_flag,False,SS2,C1_vs_C2,8,-2.469,0.0078,B>A,True
self_correction_flag,False,SS2,C1_vs_C3,6,0.167,0.625,A>B,False
self_correction_flag,False,SS2,C2_vs_C3,5,2.45,0.0625,A>B,False
self_correction_flag,False,SS2,C1_vs_C4,4,,,,False
self_correction_flag,False,SS2,C2_vs_C4,4,,,,False
self_correction_flag,False,SS3,C1_vs_C2,8,-1.625,0.0078,B>A,True
self_correction_flag,False,SS3,C1_vs_C3,6,-0.125,0.6875,B>A,False
self_correction_flag,False,SS3,C2_vs_C3,5,1.7,0.0625,A>B,False
self_correction_flag,False,SS3,C1_vs_C4,4,,,,False
self_correction_flag,False,SS3,C2_vs_C4,4,,,,False
self_correction_flag,False,SS4,C1_vs_C2,8,-1.875,0.0078,B>A,True
self_correction_flag,False,SS4,C1_vs_C3,6,0.042,0.8125,A>B,False
self_correction_flag,False,SS4,C2_vs_C3,5,1.55,0.0625,A>B,False
self_correction_flag,False,SS4,C1_vs_C4,4,,,,False
self_correction_flag,False,SS4,C2_vs_C4,4,,,,False
self_correction_flag,False,SS5,C1_vs_C2,8,-1.406,0.0078,B>A,True
self_correction_flag,False,SS5,C1_vs_C3,6,0.5,0.0625,A>B,False
self_correction_flag,False,SS5,C2_vs_C3,5,1.85,0.0625,A>B,False
self_correction_flag,False,SS5,C1_vs_C4,4,,,,False
self_correction_flag,False,SS5,C2_vs_C4,4,,,,False
